Entity ID,Parent id,Path,Name,Altername 1,Altername 2,Altername 3,Link To,Fitler Url Key,H1 title,Description Title,Top Description,Description,Margin,Meta Title,Meta keywords,Meta Description
1,0,1,Root Catalog,,,,,,,,,,,,,
3,0,3,,,,,,,,,,,,,,
4,1,1/4,Default Category,,,,,,,,,,,,,
5,4,1/4/5,Clothing,Apparel,Clothing,Clothing,,,Australia's cheapest custom clothing & apparel online,,"If clothes make the man then you'd want our branded clothing on your most loyal customers, staff or team. After all, top-of-its-class promotional apparel from Payless Promotions speaks of the importance you give to quality, durability and style. We are a leading provider of custom products in Australia. Call us today!",<p>Personalised clothing by Payless Promotions can be customised to include your logo or imprinted for advertising your business or products. Order your items online and enjoy cheap rates. There is good reason why we are the preferred source of premium apparel in Australia – we don't skimp on quality while you save on costs!</p>,,"Branded Uniforms With Your Logo - Shirts, Hoodies, Hats & More","Custom,Promotional,Branded,Logo,Customised,Personalised,Imprinted,Advertising","Your brand is your most important asset. Get advice from our uniform and branding specialists and get your custom clothing right the first time.
"
6,4,1/4/6,Promotional Products,Promotional Items,Promotional Merchadise,Promo Products,,,Engage your senses with promotional merchandise,,Promotional items are a crucial part of a company’s marketing message. It’s the only tangible piece of marketing that a company can send out. Stats have shown that receiving a promotional product can result in up to 85% of recipients doing business with the advertiser. Create a memorable marketing experience by contacting our team today. We will help you engage the senses with branded promotional merchandise.,,,Quality Promotional Products & Merchandise | Lowest Prices in Australia,"
",Save money and get your promotional products right the first time with quality merchandise and advice from Australia's promo experts for 20 years.
7,4,1/4/7,Corporate Gifts,Business Gifts,Advertising Products,Staff Rewards,,,Show your appreciation with custom corporate gifts,,"<p>Keep the excitement up at the office with corporate promotional gifts from Payless Promotions. Who wouldn't love a token of appreciation that's top quality and durable? Personalised business gifts can be used as staff rewards or for advertising products. Either way, these custom giveaways are an excellent way to communicate the importance you place on value-added service.</p>",,,Cheap Promotional Corporate Gifts | Prices Online,"Promotional, Personalised, Custom, Logo, Business, Printed, Branded, Imprinted","Impress your team with Australia's best Promotional Corporate Gifts branded with your corporate or team logo. Save money every time on our huge Corporate Gift range with our Australia's Lowest Price Guarantee. Click through to find custom branded Corporate Gifts perfect for your organisation, sports club, university or school."
8,4,1/4/8,Workwear ,Workwear,Safety Wear,Safetywear,,,"Blood, sweat and tears? Not in our custom workwear",,<p>Keep your tradies happy on the worksite and in the office with our range of custom workwear. Choose our safety wear to let your employees look slick and feel safe during their day's work. Your tradies put their all into the work they do. Reward them by ordering our high-quality workwear. Make sure your employees look smart and promote your brand with our hi-vis options.</p>,,,Quality Workwear Branded With Your Logo at Low Prices | Australia,"Custom, Embroidered , Branded, Printed, Personalised, logo, Customised, Imprinted
",Getting the right workwear garments with the right branding can be tough. Get Advice from Australia's branded workwear specialists and get it right the first time.
9,4,1/4/9,Uniforms,Corporate And Branded Uniforms,Work Uniforms,,,,"No matter the job, we have the work uniform for you",Style Upgrade With Our New Corporate Uniforms Range,"<p>Your staff is the heart of your business, so we design our work uniforms with them in mind. While uniforms are the norm for most companies, your team does not have to sacrifice comfort. </p>
<p>Our extensive range of branded uniforms has your every need covered. Our website has all the items your office needs to wear in a variety of styles, from vibrant colours to sleek corporate uniforms.</p>",,,Quality Work Uniforms Custom Branded With Your Logo At Low Prices,,Get Australia's lowest prices on custom work uniforms. We also a trusted supplier of school and sports uniforms all over Australia.
10,4,1/4/10,Year 12 Jerseys ,School Leavers Jackets,Yr 12 Jackets,Leavers Jackets,,,,,We all know that personalised year 12 jerseys are not mere items of clothing. These school leavers jackets are memories we keep dearly even years after graduation. That why the customised yr 12 jackets that you choose should be not just look good. Your custom leavers jackets should be tough enough to stand the test of time.,"<p>Payless Promotions is the leading provider of embroidered year 12 jerseys in Australia. Shop via our website to enjoy premium quality yr 12 jackets, printed with your school logo. Our branded leavers jackets are the best ways to keep your school life alive and imprinted in your memory. Talk to one of our customer support managers today!</p>",,Cheap Customised Custom | Prices Online,"Customised, Custom, Personalised, Embroidered , Printed, Branded, Logo, Imprinted
","Impress your team with Australia's best Customised Year 12 Jerseys  branded with your corporate or team logo. Save money every time on our huge Year 12 Jerseys  range with our Australia's Lowest Price Guarantee. Click through to find custom branded Year 12 Jerseys  perfect for your organisation, sports club, university or school."
11,5,1/4/5/11,Aprons,Aprons,Aprons,Aprons,,,Custom logo aprons printed or embroidered fast in Australia,,"Bake way for the most fashionable chef of the year... okay apologies for that disgraceful pun but seriously, your staff will be cooking up a storm in our custom printed aprons. Looking good in an apron is normally hard but not with our aprons, they do the job for you. Whether it’s for a local cafe or a Michelin star restaurant, our aprons are the perfect fit. Our stylish range of aprons will keep everyone from your sous-chef to your sommelier happy. Call us today to place an order or to ask any questions you may have.",,53.3,Cheap Custom Printed or Embroidered Hospitality Café Aprons Australia ,"Work,Logo,Uniform,Branded,Promotional,Promo,Business,Cafe","Impress your team with Australia's best Hospitality Aprons branded with your corporate or team logo. Save money every time on our huge Apron range with our Australia's Lowest Price Guarantee. Click through to find custom branded Aprons perfect for your organisation, sports club, university or school."
